SA4_CODE_2011,SA4_NAME_2011,Number_O,Total_f
101,Capital Region,6,2234844
102,Central Coast,6,3945160
103,Central West,6,2494062
104,Coffs Harbour - Grafton,4,2121211
105,Far West and Orana,5,1905155
106,Hunter Valley exc Newcastle,10,3140810
107,Illawarra,5,3326254
108,Mid North Coast,6,3316992
109,Murray,5,1315171
110,New England and North West,7,2470655
111,Newcastle and Lake Macquarie,5,3980891
112,Richmond - Tweed,7,3384417
113,Riverina,7,1773409
114,Southern Highlands and Shoalhaven,5,1779419
115,Sydney - Baulkham Hills and Hawkesbury,3,628336
116,Sydney - Blacktown,5,3726602
117,Sydney - City and Inner South,5,2592693
118,Sydney - Eastern Suburbs,3,1091690
119,Sydney - Inner South West,7,6196325
120,Sydney - Inner West,5,1554863
121,Sydney - North Sydney and Hornsby,3,1384897
122,Sydney - Northern Beaches,3,814258
123,Sydney - Outer South West,4,2920348
124,Sydney - Outer West and Blue Mountains,4,2915097
125,Sydney - Parramatta,6,5223594
126,Sydney - Ryde,3,698427
127,Sydney - South West,8,5679411
128,Sydney - Sutherland,3,893464
201,Ballarat,4,1906793
202,Bendigo,4,1596906
203,Geelong,3,2452719
204,Hume,6,2044694
205,Latrobe - Gippsland,6,3509322
206,Melbourne - Inner,10,2644580
207,Melbourne - Inner East,1,224411
208,Melbourne - Inner South,2,297946
209,Melbourne - North East,8,2339852
210,Melbourne - North West,11,3165168
211,Melbourne - Outer East,6,2130401
212,Melbourne - South East,12,5079958
213,Melbourne - West,10,7160717
214,Mornington Peninsula,1,1281554
215,North West,5,2289924
216,Shepparton,4,1625895
217,Warrnambool and South West,4,1532471
301,Brisbane - East,7,1607001
302,Brisbane - North,6,1427086
303,Brisbane - South,6,2143606
304,Brisbane - West,3,426934
305,Brisbane Inner City,4,822900
306,Cairns,14,2970043
307,Darling Downs - Maranoa,10,1732309
308,Fitzroy,4,2348494
309,Gold Coast,10,4840834
310,Ipswich,12,3832683
311,Logan - Beaudesert,10,3599996
312,Mackay,8,1579974
313,Moreton Bay - North,4,3091730
314,Moreton Bay - South,2,882127
315,Queensland - Outback,6,1256427
316,Sunshine Coast,6,3167397
317,Toowoomba,5,1575372
318,Townsville,9,2375990
319,Wide Bay,14,4718779
401,Adelaide - Central and Hills,9,1741499
402,Adelaide - North,16,5360739
403,Adelaide - South,15,3167026
404,Adelaide - West,7,2955645
405,Barossa - Yorke - Mid North,6,1537316
406,South Australia - Outback,6,1326047
407,South Australia - South East,13,2705089
501,Bunbury,6,1412953
502,Mandurah,3,941689
503,Perth - Inner,8,3543038
504,Perth - North East,8,1487827
505,Perth - North West,9,2531841
506,Perth - South East,8,2921265
507,Perth - South West,8,1569383
508,Western Australia - Outback,10,3217640
509,Western Australia - Wheat Belt,6,1372169
601,Hobart,5,3092250
602,Launceston and North East,6,1804072
603,South East,3,330255
604,West and North West,3,1410478
701,Darwin,20,2518843
702,Northern Territory - Outback,27,3931100
801,Australian Capital Territory,8,2117204
